"","OBJECTID","n_export","precip_variability","population","depth_to_groundwater","cattle","average_flow","percent_no_sanitation","clay_percent","flash_flow","sand_percent","pigs","proportion_urban"
"616",616,189912.34375,100.539673862636,5404.904296875,293,1769.76061319992,1.13119232654572,31.0541248321533,16,0.270672470331192,37,4051.18204351207,0
"617",617,356759.15625,111.611565959326,9284.6845703125,229,59.1079532781415,0.593076944351196,31.0541248321533,15,0.187563866376877,50,7986.72179359809,0
"618",618,424110.125,105.441870989014,92570.125,2,444.304503818097,0.338076919317245,31.0541248321533,22,0.227643549442291,37,10620.4837455895,0.400000005960464
"619",619,7547.64794921875,105.79844427441,487.27294921875,74,0.0318209950198538,0.0633846148848534,31.0541248321533,17,0.173072889447212,52,286.860897855102,0
"620",620,232475.125,110.403638574936,56389.3984375,203,122.013548467557,0.687307715415955,31.0541248321533,16,0.233323335647583,51,13345.3519007508,0
"621",621,112384.6796875,101.90966868832,82346.6875,7,20.9846202364013,63.832576751709,31.0541248321533,24,0.269054770469666,31,5248.11399605485,1
"622",622,264817.53125,107.592774406533,13912.7216796875,2,683.059892886953,0.669384598731995,31.0541248321533,20,0.270319789648056,44,18455.0010276064,0.0700000002980232
"623",623,384696.59375,108.542857765983,86128.3515625,66,558.635134493743,1.29353845119476,31.0541248321533,18,0.264948219060898,47,21537.285720976,0
"624",624,12123.53125,109.910762417154,402.847045898438,92,3.53694586024229e-05,0.0478461533784866,31.0541248321533,19,0.221984297037125,50,18.3916343152571,0
"625",625,39124.96484375,102.264142714695,692807.75,3,16.0080913064299,0.349730759859085,31.0541248321533,23,0.25743892788887,33,4666.82560174377,1
"626",626,33369.265625,101.892132836676,225599.625,10,19.6195214874486,0.371730774641037,31.0541248321533,25,0.264179319143295,33,4824.35170853645,1
"627",627,189991.15625,100.698577122441,269281.03125,115,857.745011917417,56.9167289733887,31.0541248321533,21,0.271919906139374,37,18540.6274323659,1
"628",628,184916.796875,102.12828366767,29313.54296875,36,134.661606457812,0.35273078083992,31.0541248321533,25,0.270339608192444,32,7242.15152379942,0.150000005960464
"629",629,145147.203125,101.885719098977,57083.7578125,50,108.791310730233,1.86919236183167,31.0541248321533,23,0.250048875808716,33,6690.73658579451,0.46000000834465
"630",630,12338.4873046875,113.460884275744,469.312469482422,104,0.480583454219187,0.0370769239962101,31.0541248321533,17,0.189726427197456,53,24.0458706572975,0
"631",631,194792.609375,103.968086480393,44342.2890625,11,403.842930617636,9.6523847579956,31.0541248321533,20,0.319672375917435,45,12884.6831351222,0
"632",632,160265.828125,115.216421664076,8106.61767578125,229,226.56221057071,0.16976922750473,31.0541248321533,16,0.315375804901123,46,3872.99633835235,0
"633",633,48134.8125,99.3013619737388,4156.25146484375,231,2208.40902356278,13.8506155014038,31.0541248321533,18,0.285723805427551,37,2631.62047798151,0
"634",634,332724.625,113.922486528075,2383.26928710938,194,28.9992660725,0.413153856992722,31.0541248321533,17,0.308376878499985,46,3703.74306598296,0
"635",635,453884.1875,102.99769847707,150173.171875,129,1099.69990437626,12.5189619064331,31.0541248321533,23,0.250789940357208,33,3101.87428612719,0
"636",636,551767.75,108.750564894308,11888.8125,12,407.481553057367,0.184000000357628,31.0541248321533,17,0.232877373695374,51,9080.36212382371,0
"637",637,285326.78125,102.975638496742,108807.4296875,44,863.845196499666,32.4566535949707,31.0541248321533,22,0.261547237634659,33,5153.90200955135,0.930000007152557
"638",638,362506.53125,107.54442005132,13636.4013671875,49,511.271349960605,3.15530776977539,31.0541248321533,20,0.232960596680641,42,7029.38718225198,0
"639",639,622142.0625,102.160930563899,58883.953125,130,2708.73518494906,4.5587306022644,31.0541248321533,20,0.249947264790535,37,1347.94192190768,0.419999986886978
"640",640,603949.375,104.688563525608,67147.9921875,60,2228.77497984014,0.532038450241089,31.0541248321533,20,0.269922733306885,34,5774.26979012686,0.930000007152557
"641",641,416922.375,110.235222318986,11756.099609375,6,309.656204028617,0.2192692309618,31.0541248321533,17,0.201199933886528,49,6849.11385784044,0
"642",642,450866.625,109.28665492847,26601.330078125,18,1174.8976525507,0.48515385389328,31.0541248321533,23,0.261929482221603,32,1609.26986775843,0
"643",643,450866.625,109.28665492847,26601.330078125,18,1174.8976525507,0.48515385389328,31.0541248321533,23,0.261929482221603,32,1609.26986775843,0
"644",644,270288.8125,109.28665492847,51906.5625,18,1174.8976525507,0.48515385389328,31.0541248321533,23,0.261929482221603,32,1609.26986775843,0.639999985694885
"645",645,283865.1875,112.069592158491,150680.0625,9,953.77629816888,8.57619190216064,31.0541248321533,23,0.309289872646332,32,1844.09462278962,0.740000009536743
"646",646,283865.1875,110.979774406545,51906.5625,18,1158.07963959633,0.540884613990784,31.0541248321533,22,0.274592876434326,33,1895.61026777585,0.639999985694885
"647",647,283865.1875,110.979774406545,51906.5625,18,1158.07963959633,0.540884613990784,31.0541248321533,22,0.274592876434326,33,1895.61026777585,0.639999985694885
"648",648,13438.734375,39.5692537908063,741596.875,203,0,0.187346145510674,31.0541248321533,22,0.284421354532242,30,0,0
"649",649,13438.734375,37.8378378378378,282705.75,200,398.570515848516,0.421999990940094,31.0541248321533,23,0.303613930940628,30,1373.69947225962,0
"650",650,99230.7578125,111.028389074036,744287.5,14,528.28667193102,8.90284633636475,31.0541248321533,21,0.31052827835083,34,1159.03153638056,1
"651",651,99230.7578125,111.028389074036,744287.5,14,528.28667193102,8.90284633636475,31.0541248321533,22,0.31052827835083,33,1159.03153638056,1
"652",652,20263.53125,111.028389074036,744287.5,14,528.28667193102,8.90284633636475,31.0541248321533,22,0.31052827835083,33,1159.03153638056,1
"653",653,248505.515625,111.795679996986,162029.78125,10,830.746356556092,9.3148078918457,31.0541248321533,23,0.311180204153061,31,1851.22593083699,1
"654",654,533860.875,109.808547012103,11625.673828125,20,1889.06579800478,0.705384612083435,31.0541248321533,24,0.273339688777924,32,2425.86780099538,0.540000021457672
"655",655,311230.65625,38.9492179725901,14304.994140625,124,112.643873114539,0.281807690858841,31.0541248321533,23,0.296687722206116,28,6983.69483003503,0
"656",656,33.579345703125,121.196142197457,19.0809631347656,62,0.26341760312205,0.0115384617820382,46.6723175048828,18,0.302114814519882,45,0.0180355218259685,0
"657",657,641314.5625,110.335718735847,17810.734375,16,3167.15770996631,0.288500010967255,31.0541248321533,25,0.268602728843689,26,2089.20424561691,0
"658",658,331582.375,115.250634162042,13879.41015625,0,3944.06710076887,4.46765375137329,31.0541248321533,26,0.222364947199821,32,6787.92543892647,0.259999990463257
